left,right,social_left,WTP_ITI,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore
one_1,one_1,0,4,0.01,0.01,green,0,1,1
one_2,one_2,0,5,0.02,0.01,green,1,0,0
one_3,one_3,0,6,0.03,0.01,green,1,0,0
one_4,one_4,0,1,0.04,0.01,green,1,0,0
one_5,one_5,0,2,0.05,0.01,green,1,0,0
two_1,two_1,0,5,0.01,0.02,green,0,0,1
two_2,two_2,0,1,0.02,0.02,green,0,1,1
two_3,two_3,0,2,0.03,0.02,green,1,0,0
two_4,two_4,0,4,0.04,0.02,green,1,0,0
two_5,two_5,0,3,0.05,0.02,green,1,0,0
three_1,three_1,0,4,0.01,0.01,green,0,1,1
three_2,three_2,0,5,0.02,0.01,green,1,0,0
three_3,three_3,0,6,0.03,0.01,green,1,0,0
three_4,three_4,0,1,0.04,0.01,green,1,0,0
three_5,three_5,0,2,0.05,0.01,green,1,0,0
four_1,four_1,0,5,0.01,0.02,green,0,0,1
four_2,four_2,0,1,0.02,0.02,green,0,1,1
four_3,four_3,0,2,0.03,0.02,green,1,0,0
four_4,four_4,0,4,0.04,0.02,green,1,0,0
four_5,four_5,0,3,0.05,0.02,green,1,0,0
five_1,five_1,0,4,0.01,0.01,green,0,1,1
five_2,five_2,0,5,0.02,0.01,green,1,0,0
five_3,five_3,0,6,0.03,0.01,green,1,0,0
five_4,five_4,0,1,0.04,0.01,green,1,0,0
five_5,five_5,0,2,0.05,0.01,green,1,0,0
six_1,six_1,0,5,0.01,0.02,green,0,0,1
six_2,six_2,0,1,0.02,0.02,green,0,1,1
six_3,six_3,0,2,0.03,0.02,green,1,0,0
six_4,six_4,0,4,0.04,0.02,green,1,0,0
six_5,six_5,0,3,0.05,0.02,green,1,0,0
seven_1,seven_1,0,4,0.01,0.01,green,0,1,1
seven_2,seven_2,0,5,0.02,0.01,green,1,0,0
seven_3,seven_3,0,6,0.03,0.01,green,1,0,0
seven_4,seven_4,0,1,0.04,0.01,green,1,0,0
seven_5,seven_5,0,2,0.05,0.01,green,1,0,0
eight_1,eight_1,0,5,0.01,0.02,green,0,0,1
eight_2,eight_2,0,1,0.02,0.02,green,0,1,1
eight_3,eight_3,0,2,0.03,0.02,green,1,0,0
eight_4,eight_4,0,4,0.04,0.02,green,1,0,0
eight_5,eight_5,0,3,0.05,0.02,green,1,0,0
nine_1,nine_1,0,4,0.01,0.01,green,0,1,1
nine_2,nine_2,0,5,0.02,0.01,green,1,0,0
nine_3,nine_3,0,6,0.03,0.01,green,1,0,0
nine_4,nine_4,0,1,0.04,0.01,green,1,0,0
nine_5,nine_5,0,2,0.05,0.01,green,1,0,0
ten_1,ten_1,0,5,0.01,0.02,green,0,0,1
ten_2,ten_2,0,1,0.02,0.02,green,0,1,1
ten_3,ten_3,0,2,0.03,0.02,green,1,0,0
ten_4,ten_4,0,4,0.04,0.02,green,1,0,0
ten_5,ten_5,0,3,0.05,0.02,green,1,0,0
eleven_1,eleven_1,0,4,0.01,0.01,green,0,1,1
eleven_2,eleven_2,0,5,0.02,0.01,green,1,0,0
eleven_3,eleven_3,0,6,0.03,0.01,green,1,0,0
eleven_4,eleven_4,0,1,0.04,0.01,green,1,0,0
eleven_5,eleven_5,0,2,0.05,0.01,green,1,0,0
twelve_1,twelve_1,0,5,0.01,0.02,green,0,0,1
twelve_2,twelve_2,0,1,0.02,0.02,green,0,1,1
twelve_3,twelve_3,0,2,0.03,0.02,green,1,0,0
twelve_4,twelve_4,0,4,0.04,0.02,green,1,0,0
twelve_5,twelve_5,0,3,0.05,0.02,green,1,0,0
thirteen_1,thirteen_1,0,4,0.01,0.01,green,0,1,1
thirteen_2,thirteen_2,0,5,0.02,0.01,green,1,0,0
thirteen_3,thirteen_3,0,6,0.03,0.01,green,1,0,0
thirteen_4,thirteen_4,0,1,0.04,0.01,green,1,0,0
thirteen_5,thirteen_5,0,2,0.05,0.01,green,1,0,0
fourteen_1,fourteen_1,0,5,0.01,0.02,green,0,0,1
fourteen_2,fourteen_2,0,1,0.02,0.02,green,0,1,1
fourteen_3,fourteen_3,0,2,0.03,0.02,green,1,0,0
fourteen_4,fourteen_4,0,4,0.04,0.02,green,1,0,0
fourteen_5,fourteen_5,0,3,0.05,0.02,green,1,0,0
fifteen_1,fifteen_1,0,4,0.01,0.01,green,0,1,1
fifteen_2,fifteen_2,0,5,0.02,0.01,green,1,0,0
fifteen_3,fifteen_3,0,6,0.03,0.01,green,1,0,0
fifteen_4,fifteen_4,0,1,0.04,0.01,green,1,0,0
fifteen_5,fifteen_5,0,2,0.05,0.01,green,1,0,0
sixteen_1,sixteen_1,0,5,0.01,0.02,green,0,0,1
sixteen_2,sixteen_2,0,1,0.02,0.02,green,0,1,1
sixteen_3,sixteen_3,0,2,0.03,0.02,green,1,0,0
sixteen_4,sixteen_4,0,4,0.04,0.02,green,1,0,0
sixteen_5,sixteen_5,0,3,0.05,0.02,green,1,0,0
seventeen_1,seventeen_1,0,4,0.01,0.01,green,0,1,1
seventeen_2,seventeen_2,0,5,0.02,0.01,green,1,0,0
seventeen_3,seventeen_3,0,6,0.03,0.01,green,1,0,0
seventeen_4,seventeen_4,0,1,0.04,0.01,green,1,0,0
seventeen_5,seventeen_5,0,2,0.05,0.01,green,1,0,0
eighteen_1,eighteen_1,0,5,0.01,0.02,green,0,0,1
eighteen_2,eighteen_2,0,1,0.02,0.02,green,0,1,1
eighteen_3,eighteen_3,0,2,0.03,0.02,green,1,0,0
eighteen_4,eighteen_4,0,4,0.04,0.02,green,1,0,0
eighteen_5,eighteen_5,0,3,0.05,0.02,green,1,0,0
nineteen_1,nineteen_1,0,4,0.01,0.01,green,0,1,1
nineteen_2,nineteen_2,0,5,0.02,0.01,green,1,0,0
nineteen_3,nineteen_3,0,6,0.03,0.01,green,1,0,0
nineteen_4,nineteen_4,0,1,0.04,0.01,green,1,0,0
nineteen_5,nineteen_5,0,2,0.05,0.01,green,1,0,0
twenty_1,twenty_1,0,5,0.01,0.02,green,0,0,1
twenty_2,twenty_2,0,1,0.02,0.02,green,0,1,1
twenty_3,twenty_3,0,2,0.03,0.02,green,1,0,0
twenty_4,twenty_4,0,4,0.04,0.02,green,1,0,0
twenty_5,twenty_5,0,3,0.05,0.02,green,1,0,0