TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,social_left,Left_Exp,Right_Exp,ITI,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,startWTPloop.thisRepN,startWTPloop.thisTrialN,startWTPloop.thisN,startWTPloop.thisIndex,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,Welcome.started,endwelcomescreen_keys.started,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,FirstInstructions.started,endinstructionscreen_keys.started,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,Match_text.started,syncing_text.started,text_0.started,Transparent.started,Match_text.stopped,text_0.stopped,Loading_25.started,text_25.started,Loading_25.stopped,text_25.stopped,Loading_50.started,text_50.started,Loading_50.stopped,text_50.stopped,Loading_75.started,text_75.started,Loading_75.stopped,text_75.stopped,Loading_100.started,text_100.started,Loading_100.stopped,text_100.stopped,syncing_text.stopped,Transparent.stopped,Youhavematched.started,partneremoji_image.started,endpartnermatch_keys.started,PressToContinue.started,endpartnermatch_keys.keys,endpartnermatch_keys.rt,photobeingshared_text.started,waitforfeedback_text.started,participantimage_image.started,waiting_text.started,displayfeedback_text.started,fdbkimage_image.started,presstosharenextphoto_text.started,sharenextphoto_key.started,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,waiting_text.stopped,displayfeedback_text.stopped,fdbkimage_image.stopped,WTP_ins_text1.started,WTP_ins_keys1.started,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_text2.started,WTP_ins_keys2.started,WTP_ins_keys2.keys,WTP_ins_keys2.rt,Left_Experience.started,Right_Experience.started,Left_Price.started,Right_Price.started,responses.started,responses.keys,responses.rt,ITI_text.started,ITI_text.stopped,Left_Experience.stopped,Right_Experience.stopped,Left_Price.stopped,Right_Price.stopped,responses.stopped,Resume_keys.started,Resume_Text.started,Resume_keys.keys,Resume_keys.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.259140249807388,10.259140249807388,space,2.161188834114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-23_16h17.43.428,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.439875249983743,12.439875249983743,space,19.620311500970274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-23_16h17.43.428,RejectionTask_OneLoop,2022.2.1,None,
1,Alex,Neutral,Participant_Images/101/101_Images/101_Image_24.jpg,did not like,3.613205605,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,32.09597308281809,35.08826766582206,35.08826766582206,35.08826766582206,35.093353249831125,36.33510070783086,36.33510070783086,36.33510070783086,37.57836233288981,37.57836233288981,37.57836233288981,37.57836233288981,38.81907695787959,38.81907695787959,38.83247854094952,38.83247854094952,40.06905774981715,40.06905774981715,40.08260937500745,40.08260937500745,41.33264458295889,41.33264458295889,41.36049487488344,41.36049487488344,41.36049487488344,41.36049487488344,41.36049487488344,41.36049487488344,space,0.445215375861153,42.0571647498291,42.0571647498291,42.0571647498291,44.81900545791723,49.835557790938765,49.835557790938765,52.82405162486248,52.82405162486248,space,0.039655334083363414,3,None,5,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-23_16h17.43.428,RejectionTask_OneLoop,2022.2.1,None,
2,Alex,Neutral,Participant_Images/101/101_Images/101_Image_9.jpg,did not like,4.988446431,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,53.0706835410092,53.0706835410092,53.0706835410092,55.91053799982183,60.90332866599783,60.90332866599783,63.902392082847655,63.902392082847655,space,1.5017294590361416,3,None,5,None,60.90332866599783,63.902392082847655,63.902392082847655,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-23_16h17.43.428,RejectionTask_OneLoop,2022.2.1,None,
3,Alex,Neutral,Participant_Images/101/101_Images/101_Image_4.jpg,liked,3.470791822,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,65.59151520789601,65.59151520789601,65.59151520789601,68.44465070799924,73.4357304580044,73.4357304580044,76.45550262485631,76.45550262485631,space,0.38342650095000863,3,None,5,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-23_16h17.43.428,RejectionTask_OneLoop,2022.2.1,None,
4,Alex,Neutral,Participant_Images/101/101_Images/101_Image_1.jpg,liked,3.820572462,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,76.9925543749705,76.9925543749705,76.9925543749705,79.86449091602117,84.85907791601494,84.85907791601494,87.84770920802839,87.84770920802839,space,3.9284611670300364,3,None,5,None,84.85907791601494,87.84770920802839,87.84770920802839,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2023-12-23_16h17.43.428,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Rearranging furniture in your house,Going to a carnival with friends,4,0.01,0.01,green,0,1,1,0,4,4,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,91.9646972080227,91.9646972080227,91.9646972080227,94.82074408303015,99.8147179579828,99.8147179579828,,,None,,,,,,,,,102.8199246248696,102.8199246248696,space,0.8587002931162715,103.6900989159476,103.6900989159476,space,1.4954093338456005,105.2425613750238,105.2425613750238,105.2425613750238,105.2425613750238,105.2425613750238,1,0.6793796678539366,115.21127624996006,119.21543554100208,,,,,,,,,,101,001,2023-12-23_16h17.43.428,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Watching a new episode of a television show,Having a picnic with family,5,0.02,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.21543554100208,119.21543554100208,119.21543554100208,119.21543554100208,119.21543554100208,2,0.6777433750685304,129.20742441597395,134.20749066583812,,,,,,,,,,101,001,2023-12-23_16h17.43.428,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,"Painting your bedroom
a new color",Having a romantic dinner with a significant other,6,0.03,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.20749066583812,134.20749066583812,134.20749066583812,134.20749066583812,134.20749066583812,2,0.5426817929837853,144.19900775002316,150.2029306248296,144.19900775002316,144.19900775002316,144.19900775002316,144.19900775002316,144.19900775002316,,,,,101,001,2023-12-23_16h17.43.428,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Playing with a pet,Studying abroad with friends,1,0.04,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.2029306248296,150.2029306248296,150.2029306248296,150.2029306248296,150.2029306248296,1,0.7084579591173679,160.1990388748236,161.2093859158922,160.1990388748236,160.1990388748236,160.1990388748236,160.1990388748236,160.1990388748236,,,,,101,001,2023-12-23_16h17.43.428,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,0,Reading a book,Going to a friend’s birthday party,2,0.05,0.01,green,1,0,0,0,4,4,4,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.2093859158922,161.2093859158922,161.2093859158922,161.2093859158922,161.2093859158922,1,0.8380803340114653,171.20157395792194,173.19453079090454,,,,,,,,,,101,001,2023-12-23_16h17.43.428,RejectionTask_OneLoop,2022.2.1,None,
5,Alex,Neutral,Participant_Images/101/101_Images/101_Image_3.jpg,liked,2.455989137,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,None,5,None,,,,,,,,,,,,,,,,,,,,,,,,,,173.19453079090454,173.19453079090454,space,1.6519098340068012,101,001,2023-12-23_16h17.43.428,RejectionTask_OneLoop,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,175.0098631659057,175.0098631659057,175.0098631659057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
