endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt,social_left
space,8.4194,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,space,26.2234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,space,3.4606,space,1.5532,NAN,,NAN,0,6,,0,0,0,0,1,1,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_3.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.5002,NAN,,NAN,0,6,,0,1,1,1,1,2,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_14.jpeg,liked,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,113.1918,NAN,,NAN,0,6,,0,2,2,2,1,3,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_23.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.5977,NAN,,NAN,0,6,,0,3,3,3,1,4,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_22.jpeg,did not like,3.820572462,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,1,,,,,,space,21.9035,space,15.2862,0.01,1,1.1479,0,0,0,0,1,Write poetry in my favorite park during the golden hour,Cook a homemade dinner with my partner on a quiet Friday night,0.01,0.01,4.4,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0.01,2,1.1908,0,1,1,1,1,Hike in the forest on a crisp autumn morning,Hike trails with my coworkers during a team-building retreat,0.02,0.01,8.8,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0.03,1,1.1645,0,2,2,2,1,Write poetry in my favorite park during the golden hour,Watch movies with my family during the holidays,0.03,0.01,3.3,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.04,1,1.4256,0,3,3,3,1,Read a novel in my cozy armchair by the window on a rainy afternoon,Hike trails with my coworkers during a team-building retreat,0.04,0.01,1.1,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,5,,,,,,,,,,0.01,2,0.9699,0,4,4,4,1,Read a novel in my cozy armchair by the window on a rainy afternoon,Visit museums with my classmates during a school field trip,0.05,0.01,1.1,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,NAN,,NAN,0.1,5.9,,0,4,4,4,1,5,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_5.jpeg,liked,2.455989137,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.184,NAN,,NAN,0.1,5.9,,0,5,5,5,1,6,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_16.jpeg,liked,3.79605092,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.4098,NAN,,NAN,0.1,5.9,,0,6,6,6,1,7,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_11.jpeg,liked,3.562416326,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.8836,NAN,,NAN,0.1,5.9,,0,7,7,7,1,8,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_13.jpeg,liked,2.843822497,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.6778,NAN,,NAN,0.1,5.9,,0,8,8,8,1,9,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_1.jpeg,did not like,3.546495948,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,6,,,,,,space,17.2939,space,1.6669,0.01,1,1.1253,0,0,0,0,1,Meditate in my backyard garden at sunrise,Host game nights with my neighbors in my living room,0.01,0.02,3.3,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,7,,,,,,,,,,0.02,2,1.5899,0,1,1,1,1,Read a novel in my cozy armchair by the window on a rainy afternoon,Cook a homemade dinner with my partner on a quiet Friday night,0.02,0.02,1.1,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,8,,,,,,,,,,0.02,2,1.2414,0,2,2,2,1,Write poetry in my favorite park during the golden hour,Play board games with friends at a cozy cabin during a winter weekend,0.03,0.02,1.1,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,9,,,,,,,,,,0.02,2,1.2751,0,3,3,3,1,Stargaze in my backyard on a clear summer night,Hike trails with my coworkers during a team-building retreat,0.04,0.02,4.4,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,10,,,,,,,,,,0.02,2,1.225,0,4,4,4,1,Sketch landscapes at a secluded spot by the lake,Hike trails with my coworkers during a team-building retreat,0.05,0.02,1.1,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,NAN,,NAN,0.19,5.81,,0,9,9,9,1,10,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_17.jpeg,did not like,1.672012706,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.6314,NAN,,NAN,0.19,5.81,,0,10,10,10,1,11,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_12.jpeg,liked,4.942172136,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.8023,NAN,,NAN,0.19,5.81,,0,11,11,11,1,12,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_10.jpeg,liked,2.50187214,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.2875,NAN,,NAN,0.19,5.81,,0,12,12,12,1,13,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_25.jpeg,did not like,2.071164779,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.8336,NAN,,NAN,0.19,5.81,,0,13,13,13,1,14,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_15.jpeg,liked,5.336503566,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,11,,,,,,space,8.5037,space,0.8668,0.01,1,1.5434,0,0,0,0,1,Listen to classical music while doing yoga in my living room,Cook a homemade dinner with my partner on a quiet Friday night,0.01,0.03,3.3,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,12,,,,,,,,,,0.02,1,1.3,0,1,1,1,1,Listen to classical music while doing yoga in my living room,Play board games with friends at a cozy cabin during a winter weekend,0.02,0.03,4.4,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,13,,,,,,,,,,0.03,1,1.5937,0,2,2,2,1,Meditate in my backyard garden at sunrise,Visit museums with my classmates during a school field trip,0.03,0.03,1.1,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,14,,,,,,,,,,0.03,2,1.2305,0,3,3,3,1,Meditate in my backyard garden at sunrise,Play board games with friends at a cozy cabin during a winter weekend,0.04,0.03,3.3,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,15,,,,,,,,,,0.03,2,1.1499,0,4,4,4,1,Hike in the forest on a crisp autumn morning,Watch movies with my family during the holidays,0.05,0.03,4.4,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,NAN,,NAN,0.31,5.69,,0,14,14,14,1,15,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_20.jpeg,liked,2.642157193,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.6108,NAN,,NAN,0.31,5.69,,0,15,15,15,1,16,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_18.jpeg,liked,4.456234322,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.5171,NAN,,NAN,0.31,5.69,,0,16,16,16,1,17,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_7.jpeg,liked,4.438512181,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.1438,NAN,,NAN,0.31,5.69,,0,17,17,17,1,18,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_24.jpeg,liked,2.682944783,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.8754,NAN,,NAN,0.31,5.69,,0,18,18,18,1,19,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_9.jpeg,liked,4.51984296,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,16,,,,,,space,3.9316,space,1.0668,0.01,1,1.4238,0,0,0,0,1,Watch classic films in my bedroom with fairy lights on,Participate in book club discussions with fellow book enthusiasts at a local caf,0.01,0.04,1.1,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,17,,,,,,,,,,0.02,1,1.3958,0,1,1,1,1,Hike in the forest on a crisp autumn morning,Cook a homemade dinner with my partner on a quiet Friday night,0.02,0.04,8.8,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,18,,,,,,,,,,0.03,1,1.0958,0,2,2,2,1,Write poetry in my favorite park during the golden hour,Go on beach picnics with my siblings on sunny summer days,0.03,0.04,3.3,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,19,,,,,,,,,,0.04,1,1.4929,0,3,3,3,1,Watch classic films in my bedroom with fairy lights on,Hike trails with my coworkers during a team-building retreat,0.04,0.04,3.3,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,20,,,,,,,,,,0.04,2,1.2488,0,4,4,4,1,Listen to classical music while doing yoga in my living room,Visit museums with my classmates during a school field trip,0.05,0.04,1.1,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,NAN,,NAN,0.45,5.55,,0,19,19,19,1,20,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_8.jpeg,liked,3.195382774,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.0335,NAN,,NAN,0.45,5.55,,0,20,20,20,1,21,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_4.jpeg,liked,1.779333479,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.8364,NAN,,NAN,0.45,5.55,,0,21,21,21,1,22,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_2.jpeg,did not like,4.312468682,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.6943,NAN,,NAN,0.45,5.55,,0,22,22,22,1,23,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_21.jpeg,liked,4.940433059,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.6042,NAN,,NAN,0.45,5.55,,0,23,23,23,1,24,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_19.jpeg,did not like,2.7105123,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,21,,,,,,space,7.3813,space,1.2,0.01,1,0.9201,0,0,0,0,1,Bake chocolate chip cookies in my kitchen on a quiet Sunday,Host game nights with my neighbors in my living room,0.01,0.05,8.8,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,22,,,,,,,,,,0.02,1,1.1742,0,1,1,1,1,Meditate in my backyard garden at sunrise,Watch movies with my family during the holidays,0.02,0.05,4.4,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,23,,,,,,,,,,0.03,1,1.1402,0,2,2,2,1,Journal my thoughts and reflections at a local coffee shop,Watch movies with my family during the holidays,0.03,0.05,1.1,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,24,,,,,,,,,,0.04,1,1.3191,0,3,3,3,1,Stargaze in my backyard on a clear summer night,Visit museums with my classmates during a school field trip,0.04,0.05,4.4,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,25,,,,,,,,,,0.05,1,1.4323,0,4,4,4,1,Watch classic films in my bedroom with fairy lights on,Watch movies with my family during the holidays,0.05,0.05,3.3,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,4,,8,0.6,5.4,,0,24,24,24,1,25,Alex,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_6.jpeg,did not like,3.602308302,,,,,,,,,,,,,,,,,,space,1.3662,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,space,2.8685,space,0.7663,NAN,,NAN,0.6,5.4,,0,25,25,25,1,26,Riley,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_17.jpeg,liked,4.106391878,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,3.0961,NAN,,NAN,0.6,5.4,,0,26,26,26,1,27,Riley,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_16.jpeg,liked,3.799433026,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.0591,NAN,,NAN,0.6,5.4,,0,27,27,27,1,28,Riley,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_19.jpeg,did not like,5.246980764,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.2963,NAN,,NAN,0.6,5.4,,0,28,28,28,1,29,Riley,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_7.jpeg,liked,3.30081769,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,26,,,,,,space,6.8372,space,1.3668,0.01,1,0.8279,0,0,0,0,1,Watch classic films in my bedroom with fairy lights on,Host game nights with my neighbors in my living room,0.01,0.01,4.4,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,27,,,,,,,,,,0.01,2,1.2626,0,1,1,1,1,Journal my thoughts and reflections at a local coffee shop,Go on beach picnics with my siblings on sunny summer days,0.02,0.01,3.3,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,28,,,,,,,,,,0.01,2,1.0535,0,2,2,2,1,Stargaze in my backyard on a clear summer night,Attend live concerts with my best friend on weekends,0.03,0.01,3.3,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,29,,,,,,,,,,0.01,2,0.9634,0,3,3,3,1,Bake chocolate chip cookies in my kitchen on a quiet Sunday,Play board games with friends at a cozy cabin during a winter weekend,0.04,0.01,4.4,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,30,,,,,,,,,,0.01,2,0.9575,0,4,4,4,1,Meditate in my backyard garden at sunrise,Explore new cities with my cousins on annual road trips,0.05,0.01,8.8,,,,,1
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,NAN,,NAN,0.65,5.35,,0,29,29,29,1,30,Riley,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_4.jpeg,liked,1.661473164,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,3.7327,NAN,,NAN,0.65,5.35,,0,30,30,30,1,31,Riley,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_6.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.5972,NAN,,NAN,0.65,5.35,,0,31,31,31,1,32,Riley,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_25.jpeg,liked,4.988446431,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.7169,NAN,,NAN,0.65,5.35,,0,32,32,32,1,33,Riley,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_15.jpeg,did not like,3.470791822,,,,,,,,,,,,,,,,,,,,,,
,,6601a1251731342a7891c4f1,2024-07-04_11h06.54.689,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.6406,NAN,,NAN,0.65,5.35,,0,33,33,33,1,34,Riley,Acc,Participant_Images/6601a1251731342a7891c4f1/6601a1251731342a7891c4f1_Images/6601a1251731342a7891c4f1_Image_22.jpeg,liked,3.820572462,,,,,,,,,,,,,,,,,,,,,,
